0
1. Climate & Atmosphere (Khí hậu & Khí quyển)**3==D3==D* Biến đổi khí hậu (Climate change)3==D* Khí nhà kính (Greenhouse gases)3==D* Ô nhiễm không khí (Air pollution)3==D* Tầng ozone và chất lượng không khí (Ozone layer, air quality)3==D* Thích ứng & giảm thiểu biến đổi khí hậu (Adaptation & mitigation)	2. Water & Marine Environment (Tài nguyên nước & Môi trường biển)**3==D3==D* Chất lượng nước (Water quality)3==D* Nguồn nước ngọt, sông, hồ, nước ngầm3==D* Ô nhiễm nước (Water pollution)3==D* Đại dương, biển và vùng ven biển (Marine & coastal environment)3==D* Vi nhựa, rác thải biển, sinh vật biển	3. Land, Soil & Agriculture (Đất đai, Đất nông nghiệp & Canh tác)**3==D3==D* Thoái hóa đất, xói mòn, sa mạc hóa3==D* Ô nhiễm đất (Soil contamination)3==D* Quản lý sử dụng đất (Land use management)3==D* Nông nghiệp bền vững, trồng trọt hữu cơ3==D* Phát triển đô thị và môi trường đất	4. Biodiversity & Ecosystems (Đa dạng sinh học & Hệ sinh thái)**3==D3==D* Bảo tồn loài, bảo vệ rừng, động thực vật quý hiếm3==D* Suy thoái hệ sinh thái, mất môi trường sống3==D* Rừng, đồng cỏ, vùng ngập nước3==D* Khôi phục và phục hồi thiên nhiên (Restoration ecology)3==D* Dịch vụ hệ sinh thái (Ecosystem services)	5. Energy & Resources (Năng lượng & Tài nguyên)**3==D3==D* Năng lượng tái tạo (gió, mặt trời, thủy điện, sinh khối)3==D* Hiệu quả năng lượng, tiết kiệm năng lượng3==D* Khai thác tài nguyên (dầu, khí, khoáng sản)3==D* Tiêu thụ năng lượng & phát thải carbon3==D* Nền kinh tế carbon thấp	6. Waste, Pollution & Chemicals (Chất thải, Ô nhiễm & Hóa chất)**3==D3==D* Quản lý rác thải sinh hoạt & công nghiệp3==D* Rác thải nguy hại, chất độc hại3==D* Ô nhiễm tiếng ồn, ánh sáng, nhiệt3==D* Ô nhiễm công nghiệp, kim loại nặng3==D* Quản lý hóa chất & an toàn môi trường	7. Circular Economy & Sustainability (Kinh tế tuần hoàn & Phát triển bền vững)**3==D3==D* Giảm – Tái sử dụng – Tái chế (3R)3==D* Sử dụng tài nguyên hiệu quả (Resource efficiency)3==D* Sản phẩm xanh, tiêu dùng bền vững3==D* Chuỗi cung ứng xanh (Green supply chain)3==D* Mục tiêu phát triển bền vững (SDGs)	8. Environment & Human Health (Môi trường & Sức khỏe con người)**3==D3==D* Ảnh hưởng của ô nhiễm đến sức khỏe3==D* Bệnh liên quan môi trường (ô nhiễm, hóa chất, nước bẩn)3==D* Chất độc, kim loại nặng, thuốc trừ sâu3==D* Tiếng ồn đô thị, ánh sáng nhân tạo3==D* Sức khỏe tinh thần & biến đổi khí hậu3==D	9. Environmental Policy & Governance (Chính sách & Quản trị môi trường)**3==D3==D* Luật và quy định môi trường3==D* Cơ chế quốc tế (COP, IPCC, UNFCCC, SDGs)3==D* Quản trị môi trường (Environmental governance)3==D* Chính sách khí hậu quốc gia & địa phương3==D* Giáo dục & truyền thông môi trường	10. Urban Environment & Green Living (Môi trường đô thị & Lối sống xanh)**3==D3==D* Quy hoạch xanh, thành phố bền vững3==D* Giao thông xanh, giảm phát thải đô thị3==D* Không gian xanh, cây xanh đô thị3==D* Công nghệ xanh, nhà thông minh, tiết kiệm năng lượng3==D* Lối sống xanh, tiêu dùng thân thiện môi trường
Điện Mặt Trời	Lọc nước sinh hoạt	Integrated Farming	Năng suất hệ sinh thái	Lưới điện thông minh	Hazardous Materials	Kinh tế sửa chữa	Ozone Exposure	Quản trị tài nguyên thiên nhiên	Sử dụng nước bền vững	Not Done
Wind Energy	Ocean Data	Nông nghiệp tổng hợp	Pollination Services	Energy Storage	Vật liệu nguy hại	Sharing Economy	Tiếp xúc ozone	Environmental Compliance Audit	Eco Innovation	Not Done
Điện Gió	Dữ liệu đại dương	Land Restoration	Dịch vụ thụ phấn	Lưu trữ năng lượng	Chemical Safety	Kinh tế chia sẻ	Bacterial Contamination	Kiểm toán tuân thủ môi trường	Đổi mới sinh thái	Not Done
Geothermal Power	Water Conservation	Phục hồi đất đai	Biodiversity Monitoring	Battery Technology	An toàn hóa chất	Green Finance	Ô nhiễm vi khuẩn	Public Policy Reform	Urban Environmental Policy	Not Done
Năng Lượng Địa Nhiệt	Tiết kiệm nước	Soil Compaction	Theo dõi đa dạng sinh học	Công nghệ pin	Chemical Management	Tài chính xanh	Environmental Awareness	Cải cách chính sách công	Chính sách môi trường đô thị	Not Done
Climate Vulnerability	Microplastic Pollution	Nén chặt đất	Kết nối môi trường sống	Lithium Resources	Quản lý hóa chất	Sustainable Finance	Nhận thức môi trường	Sustainable Investment	Green Technology	Not Done
Tổn Thương Khí Hậu	Ô nhiễm vi nhựa	Sustainable Irrigation	Forest Fragmentation	Tài nguyên lithium	Toxic Chemicals	Tài chính bền vững	Chemical Hazard	Đầu tư bền vững	Công nghệ xanh	Not Done
Energy Conservation	Ocean Exploration	Tưới tiêu bền vững	Phân mảnh rừng	Critical Minerals	Hóa chất độc hại	Impact Investment	Nguy cơ hóa chất	Climate Risk Assessment	Smart Mobility	Not Done
Tiết Kiệm Năng Lượng	Khám phá đại dương	Agroindustrial Waste	Species Protection Plan	Khoáng sản quan trọng	Persistent Organic Pollutants	Đầu tư tác động	Pesticide Exposure	Đánh giá rủi ro khí hậu	Di chuyển thông minh	Not Done
Permafrost Thaw	Marine Science	Chất thải nông nghiệp công nghiệp	Kế hoạch bảo vệ loài	Energy Access	Chất ô nhiễm hữu cơ bền	Social Entrepreneurship	Tiếp xúc thuốc trừ sâu	Environmental Governance Model	Eco City Planning	Not Done
Tan Băng Vĩnh Cửu	Khoa học biển	Soil Mapping	Ecosystem Modeling	Tiếp cận năng lượng	Volatile Organic Compounds	Khởi nghiệp xã hội	Food Safety and Environment	Mô hình quản trị môi trường	Lập kế hoạch thành phố sinh thái	Not Done
Climate Refugee	Water Crisis	Lập bản đồ đất	Mô hình hóa hệ sinh thái	Off Grid Systems	Hợp chất hữu cơ bay hơi	Eco Innovation	An toàn thực phẩm và môi trường	Green Public Procurement	Energy Saving Systems	Not Done
Người Tị Nạn Khí Hậu	Khủng hoảng nước	Ngăn ngừa xói mòn đất	Wildlife Observation	Hệ thống điện độc lập	Chemical Waste	Đổi mới sinh thái	Endocrine Disruptors	Mua sắm công xanh	Hệ thống tiết kiệm năng lượng	Not Done
Heat Stress	Desertification and Water	Crop Diversification	Quan sát động vật hoang dã	Microgrid	Chất thải hóa học	Environmental Innovation	Chất gây rối loạn nội tiết	Corporate Sustainability Reporting	Giảm rác thải đô thị	Not Done
Căng Thẳng Nhiệt	Sa mạc hóa và nước	Đa dạng hóa cây trồng	Community Based Conservation	Lưới điện cục bộ	Hazardous Substance Handling	Sáng tạo môi trường	Environmental Policy and Health	Báo cáo phát triển bền vững doanh nghiệp	Green Urbanization	Not Done
Environmental Policy	Coastal Protection	Land Productivity	Bảo tồn dựa vào cộng đồng	Distributed Generation	Xử lý chất nguy hại	Hạ tầng xanh	Chính sách môi trường và sức khỏe	Cải cách luật môi trường	Đô thị hóa xanh	Not Done
Chính Sách Môi Trường	Bảo vệ bờ biển	Năng suất đất	Habitat Rehabilitation	Phân tán phát điện	Pesticide Pollution	Resilient Cities	Hazardous Waste Management	Sustainable Consumption Policy	Climate Resilient City	Not Done
Weather Forecasting	Ocean Monitoring Systems	Soil Texture	Phục hồi sinh cảnh	Cải cách chính sách năng lượng	Ô nhiễm thuốc trừ sâu	Thành phố kiên cường	Quản lý chất thải nguy hại	Chính sách tiêu dùng bền vững	Thành phố chống chịu khí hậu	Not Done
Dự Báo Thời Tiết	Hệ thống giám sát đại dương	Kết cấu đất	Forest Protection	Energy Equity	Fertilizer Runoff	Smart Cities	Sustainable Healthcare	Climate Negotiations	Sustainable Consumption	Not Done
Atmospheric Chemistry	Wastewater Management	Farm Management	Bảo vệ rừng	Bình đẳng năng lượng	Dòng chảy phân bón	Thành phố thông minh	Y tế bền vững	Đàm phán khí hậu	Tiêu dùng bền vững	Not Done
Hóa Học Khí Quyển	Quản lý nước thải	Quản lý trang trại	Thích ứng hệ sinh thái	Renewable Infrastructure	Industrial Discharge	Sustainable Urban Planning	Microplastic Exposure	Khung trách nhiệm môi trường	Urban Design for Sustainability	Not Done
Radiative Forcing	Water Policy Reform	Soil Rehabilitation	Biodiversity Research	Hạ tầng năng lượng tái tạo	Xả thải công nghiệp	Quy hoạch đô thị bền vững	Tiếp xúc vi nhựa	Community Environmental Projects	Thiết kế đô thị bền vững	Not Done
Lực Bức Xạ	Cải cách chính sách nước	Cải tạo đất thoái hóa	Nghiên cứu đa dạng sinh học	Sustainable Resources	Effluent Treatment	Responsible Business	Global Burden of Disease	Dự án môi trường cộng đồng	Eco Lifestyle	Not Done
Emission Reduction	Coral Reef Bleaching	Land Zoning	Ecological Indicators	Tài nguyên bền vững	Xử lý nước thải	Kinh doanh có trách nhiệm	Gánh nặng bệnh tật toàn cầu	Environmental Policy Integration	Lối sống sinh thái	Not Done
Giảm Phát Thải	Tẩy trắng rạn san hô	Phân vùng sử dụng đất	Chỉ báo sinh thái	Circular Economy	Wastewater Management	Triple Bottom Line	Urban Health	Lồng ghép chính sách môi trường	Green Spaces in Cities	Not Done
Kinh Tế Cácbon Thấp	Marine Life	Organic Fertilizers	Species Identification	Kinh tế tuần hoàn	Quản lý nước thải	Ba trụ cột bền vững	Sức khỏe đô thị	Policy Innovation	Không gian xanh trong thành phố	Not Done
Carbon Trading	Sinh vật biển	Phân bón hữu cơ	Định danh loài	Resource Efficiency	Stormwater Pollution	Carbon Footprint	Mold Contamination	Đổi mới chính sách	Energy Saving Home	Not Done
Thị Trường Carbon	Drinking Water Standards	Soil Contaminant Removal	Ecosystem Valuation	Hiệu quả tài nguyên	Ô nhiễm nước mưa chảy tràn	Dấu chân carbon	Ô nhiễm nấm mốc	Chiến lược môi trường quốc gia	Ngôi nhà tiết kiệm năng lượng	Not Done
Climate Investment	Tiêu chuẩn nước uống	Loại bỏ chất ô nhiễm trong đất	Định giá hệ sinh thái	Material Recycling	Groundwater Contamination	Water Footprint	Toxic Air	Ecosystem Governance	Clean City Initiative	Not Done
Đầu Tư Khí Hậu	Hydrological Studies	Green Manure	Habitat Conservation	Tái chế vật liệu	Ô nhiễm nước ngầm	Dấu chân nước	Không khí độc hại	Quản trị hệ sinh thái	Sáng kiến thành phố sạch	Not Done
Flood Risk	Nghiên cứu thủy văn	Phân xanh	Bảo tồn sinh cảnh	Recycling Industry	Emission Control	Energy Efficiency	Environmental Noise	Minh bạch dữ liệu môi trường	Green Architecture	Not Done
Nguy Cơ Lũ Lụt	Salt Marsh Conservation	Land Ownership	Dịch vụ hệ sinh thái rừng	Ngành công nghiệp tái chế	Kiểm soát khí thải	Hiệu suất năng lượng	Tiếng ồn môi trường	Nhận thức môi trường cộng đồng	Kiến trúc xanh	Not Done
Ocean Current	Bảo tồn đầm lầy mặn	Sở hữu đất đai	Species Richness	Waste to Energy	Pollutant Monitoring	Renewable Transition	Health Risk Assessment	Policy Collaboration	Sustainable Living	Not Done
Dòng Hải Lưu	Hệ sinh thái nước ngọt	Soil Quality Indicators	Độ phong phú loài	Chuyển rác thành năng lượng	Giám sát chất ô nhiễm	Chuyển đổi năng lượng tái tạo	Đánh giá nguy cơ sức khỏe	Hợp tác chính sách	Cuộc sống bền vững	Not Done
Sea Surface Temperature	Ocean Pollution Prevention	Chỉ số chất lượng đất	Ecosystem Management	Energy Recovery	Environmental Regulation	Sustainable Policy	Water Purification	Quản lý rủi ro môi trường	Urban Air Quality	Not Done
Nhiệt Độ Bề Mặt Biển	Ngăn ngừa ô nhiễm biển	Sustainable Crop Systems	Quản lý hệ sinh thái	Thu hồi năng lượng	Quy định môi trường	Chính sách phát triển bền vững	Lọc nước sạch	Sustainable Policy Development	Chất lượng không khí đô thị	Not Done
Storm Intensity	Aquatic Invasive Species	Hệ thống cây trồng bền vững	Protected Forests	Industrial Emissions	Pollution Prevention	Sustainable Innovation	E Waste Impact	Phát triển chính sách bền vững	Renewable City Energy	Not Done
Cường Độ Bão	Loài xâm hại dưới nước	Đổi mới nông nghiệp	Rừng được bảo vệ	Khí thải công nghiệp	Ngăn ngừa ô nhiễm	Đổi mới bền vững	Tác động rác thải điện tử	Environmental Diplomacy	Năng lượng tái tạo đô thị	Not Done
Hydrogen Energy	Groundwater Contamination	Soil Degradation Monitoring	Ecosystem Diversity	Energy Audit	Cleaner Production	Tối ưu tài nguyên	Mental Wellbeing	Ngoại giao môi trường	Eco Friendly Housing	Not Done
Năng Lượng Hydro	Ô nhiễm nước ngầm	Giám sát thoái hóa đất	Đa dạng hệ sinh thái	Kiểm toán năng lượng	Sản xuất sạch hơn	Circular Resource Flow	Sức khỏe tinh thần	Environmental Education Programs	Nhà ở thân thiện môi trường	Not Done
Sustainable Agriculture	Coastal Habitat Protection	Chỉ số năng suất đất	Forest Cover	Green Investment	Green Chemistry	Dòng chảy tài nguyên tuần hoàn	Infectious Disease	Chương trình giáo dục môi trường	Low Emission Vehicles	Not Done
Nông Nghiệp Bền Vững	Bảo vệ môi trường ven biển	Bảo tồn đất và nước	Độ che phủ rừng	Đầu tư xanh	Hóa học xanh	Industrial Symbiosis	Bệnh truyền nhiễm	Sustainable Legislation	Phương tiện phát thải thấp	Not Done
Ecosystem Restoration	River Delta Management	Agro Biodiversity	Ổn định hệ sinh thái	Environmental Tax	Chemical Substitution	Cộng sinh công nghiệp	Pollution Related Mortality	Pháp luật bền vững	Chiến lược phát triển bền vững đô thị	Not Done
Phục Hồi Hệ Sinh Thái	Quản lý đồng bằng sông	Đa dạng sinh học nông nghiệp	Wildlife Rescue	Thuế môi trường	Thay thế hóa chất	Eco Efficiency Index	Tử vong do ô nhiễm	Environmental Leadership	Smart Urban Infrastructure	Not Done
Urban Sustainability	Water Footprint	Land Tenure Security	Cứu hộ động vật hoang dã	Energy Subsidies	Non Toxic Materials	Chỉ số hiệu quả sinh thái	Green Hospitals	Lãnh đạo môi trường	Hạ tầng thông minh đô thị	Not Done
Phát Triển Đô Thị Bền Vững	Dấu chân nước	An ninh quyền sử dụng đất	Ecological Restoration	Trợ cấp năng lượng	Vật liệu không độc hại	Sustainable Goals	Bệnh viện xanh	Policy Accountability	Green City Design	Not Done
Land Degradation	Marine Energy	Soil Temperature	Phục hồi sinh thái	Energy Poverty	Eco Friendly Products	Mục tiêu phát triển bền vững	Y học môi trường	Trách nhiệm chính sách	Thiết kế thành phố xanh	Not Done
Suy Thoái Đất	Năng lượng biển	Nhiệt độ đất	Habitat Mapping	Nghèo năng lượng	Sản phẩm thân thiện môi trường	SDG Implementation	Public Awareness	International Environmental Cooperation	Clean Energy Urban Projects	Not Done
Carbon Absorption	Waterborne Waste	Organic Mulching	Bản đồ sinh cảnh	Energy Transition Plan	Industrial Hygiene	Thực hiện các mục tiêu SDG	Nhận thức cộng đồng	Hợp tác môi trường quốc tế	Dự án năng lượng sạch đô thị	Not Done
Hấp Thụ Carbon	Chất thải theo dòng nước	Phủ đất hữu cơ	Ecosystem Monitoring Network	Kế hoạch chuyển đổi năng lượng	Vệ sinh công nghiệp	Giáo dục bền vững	Human Exposure	Climate Policy Framework	Public Green Initiative	Not Done
Energy Storage	Hydrological Forecasting	Land Policy	Mạng lưới giám sát hệ sinh thái	Carbon Pricing	Chemical Exposure	Lãnh đạo vì phát triển bền vững	Phơi nhiễm của con người	Khung chính sách khí hậu	Sáng kiến công cộng xanh	Not Done
Tích Trữ Năng Lượng	Dự báo thủy văn	Chính sách đất đai	Biodiversity Education	Định giá carbon	Phơi nhiễm hóa chất	Green Awareness	Air Quality Standards	Governance Transparency	Sustainable Transport Policy	Not Done
Climate Scenario	Blue Carbon	Soil Nutrient Management	Giáo dục về đa dạng sinh học	Carbon Market	Occupational Safety	Nhận thức xanh	Tiêu chuẩn chất lượng không khí	Minh bạch trong quản trị	Chính sách giao thông bền vững	Not Done
Kịch Bản Khí Hậu	Các bon xanh	Quản lý dinh dưỡng đất	Species Conservation Programs	Thị trường carbon	An toàn lao động	Eco Responsibility	Chronic Illness	Tiêu chuẩn báo cáo bền vững	Smart Waste Management	Not Done
Temperature Record	Water Safety Education	Luân canh bền vững	Chương trình bảo tồn loài	Carbon Trading	Hazard Assessment	Trách nhiệm sinh thái	Bệnh mãn tính	Environmental Policy Research	Quản lý rác thải thông minh	Not Done
Kỷ Lục Nhiệt Độ	Giáo dục an toàn nước	Soil Organic Carbon	Forest Rehabilitation	Giao dịch carbon	Đánh giá nguy cơ	Sustainable Lifestyle	Waste Disposal Safety	Nghiên cứu chính sách môi trường	Thích ứng khí hậu đô thị	Not Done
Ocean Circulation	Quy hoạch không gian biển	Các bon hữu cơ trong đất	Tái tạo rừng	Emissions Reduction	Quản lý rủi ro hóa chất	Lối sống bền vững	An toàn xử lý chất thải	Climate Governance Mechanism	Eco Citizen	Not Done
Tuần Hoàn Đại Dương	Oceanography	Land Rights	Ecosystem Indicators	Giảm phát thải	Toxicology Studies	Eco Friendly Lifestyle	Clean Energy and Health	Cơ chế quản trị khí hậu	Công dân xanh	Not Done
Solar Energy System	Hải dương học	Quyền đất đai	Chỉ số hệ sinh thái	Sustainable Mining Practice	Nghiên cứu độc chất học	Lối sống thân thiện môi trường	Năng lượng sạch và sức khỏe	Green Economy Policy	Urban Renewable Systems	Not Done
Hệ Thống Năng Lượng Mặt Trời	Watershed Protection	Mạng lưới giám sát đất	Urban Biodiversity	Thực hành khai thác bền vững	Environmental Health	Mục tiêu phát triển bền vững toàn cầu	Soil Toxins	Chính sách kinh tế xanh	Hệ thống năng lượng tái tạo đô thị	Not Done
Renewable Investment	Bảo vệ lưu vực sông	Agro Climate Adaptation	Đa dạng sinh học đô thị	Oil Refining	Sức khỏe môi trường	Corporate Social Responsibility	Độc chất trong đất	Environmental Stakeholders	Eco Urbanism	Not Done
Đầu Tư Năng Lượng Sạch	Rainfall Patterns	Thích ứng khí hậu nông nghiệp	Wetland Biodiversity	Lọc dầu	Contaminated Sites	Trách nhiệm xã hội doanh nghiệp	Microbial Pollution	Các bên liên quan môi trường	Đô thị sinh thái	Not Done
Climate Crisis	Mô hình lượng mưa	Land Reform	Đa dạng sinh học vùng ngập nước	Petrochemical Industry	Khu vực bị ô nhiễm	Ethical Business	Ô nhiễm vi sinh	Environmental Decision Process	Green Neighborhoods	Not Done
Khủng Hoảng Khí Hậu	Drinking Water Infrastructure	Cải cách ruộng đất	Species Population	Ngành công nghiệp hóa dầu	Soil Remediation	Kinh doanh đạo đức	Food Chain Contamination	Quy trình ra quyết định môi trường	Khu phố xanh	Not Done
Climate Finance	Hạ tầng cấp nước	Soil Pollution Control	Quần thể loài	Natural Gas Distribution	Xử lý ô nhiễm đất	Green Policy	Ô nhiễm chuỗi thực phẩm	Sustainable Development Governance	Smart Energy Grid	Not Done
Tài Chính Khí Hậu	Groundwater Mapping	Kiểm soát ô nhiễm đất	Ecosystem Policies	Phân phối khí tự nhiên	Bioremediation	Chính sách xanh	Heatwave Mortality	Quản trị phát triển bền vững	Lưới năng lượng thông minh	Not Done
Climate Governance	Bản đồ nước ngầm	Tối ưu hóa năng suất cây trồng	Chính sách hệ sinh thái	Energy Infrastructure Planning	Xử lý sinh học	Circular Manufacturing	Tử vong do nắng nóng	Environmental Treaty	Eco Housing Design	Not Done
Quản Trị Khí Hậu	Coastal Biodiversity	Soil Analysis	Habitat Diversity	Quy hoạch hạ tầng năng lượng	Phytoremediation	Sản xuất tuần hoàn	Vector Control	Hiệp ước môi trường	Thiết kế nhà sinh thái	Not Done
Emission Target	Đa dạng sinh học ven biển	Phân tích đất	Đa dạng sinh cảnh	Renewable Incentives	Xử lý bằng thực vật	Eco Economy	Kiểm soát côn trùng truyền bệnh	Policy Enforcement	Sustainable Commuting	Not Done
Mục Tiêu Giảm Phát Thải	Water Rights	Urban Green Spaces	Biodiversity Action Plan	Chính sách khuyến khích năng lượng tái tạo	Waste Incineration Emissions	Nền kinh tế sinh thái	Health Inequality	Eco Governance	Đi lại bền vững	Not Done
Net Zero Emission	Quyền sử dụng nước	Không gian xanh đô thị	Kế hoạch hành động đa dạng sinh học	Clean Development Mechanism	Khí thải từ đốt rác	Sustainability Index	Bất bình đẳng y tế	Quản trị sinh thái	Urban Energy Policy	Not Done
Phát Thải Ròng Bằng Không	Công nghệ sinh học biển	Đánh giá khả năng sử dụng đất	Ecological Footprint	Cơ chế phát triển sạch	Air Quality Index	Chỉ số bền vững	Sanitation Facilities	Environmental Reporting System	Chính sách năng lượng đô thị	Not Done
Climate Negotiation	Ocean Cleanup	Soil and Crop Interaction	Dấu chân sinh thái	Renewable Integration	Chỉ số chất lượng không khí	Green Metrics	Cơ sở vệ sinh	Hệ thống báo cáo môi trường	Green Mobility Solutions	Not Done
Đàm Phán Khí Hậu	Làm sạch đại dương	Tương tác giữa đất và cây trồng	Forest Regeneration	Tích hợp năng lượng tái tạo	Particulate Matter	Chỉ số xanh	Hygiene Education	Transparency in Environmental Policy	Giải pháp di chuyển xanh	Not Done
Environmental Awareness	Waterborne Contaminants	Soil Profile Studies	Tái sinh rừng	Energy Transition Pathway	Bụi mịn	Energy Circularity	Giáo dục vệ sinh	Minh bạch trong chính sách môi trường	Giao thông công cộng thân thiện môi trường	Not Done
Nhận Thức Môi Trường	Chất ô nhiễm trong nước	Nghiên cứu tầng đất	Ecosystem Protection	Lộ trình chuyển đổi năng lượng	Carbon Monoxide Pollution	Tuần hoàn năng lượng	Drinking Water Safety	Public Environmental Investment	Hệ thống tòa nhà thông minh	Not Done
Natural Disaster	Marine Geology	Sustainable Farming Systems	Bảo vệ hệ sinh thái	Sử dụng tài nguyên bền vững	Ô nhiễm khí CO	Tái sinh tài nguyên	An toàn nước uống	Đầu tư công cho môi trường	Urban Energy Transition	Not Done
Thiên Tai	Địa chất biển	Hệ thống canh tác bền vững	Invasive Species	Energy Diversification	Sulfur Dioxide Emissions	Eco Restoration	Hazardous Exposure	Environmental Planning and Management	Chuyển đổi năng lượng đô thị	Not Done
Global Temperature	Water Balance	Land Cover Change	Loài xâm lấn	Đa dạng hóa năng lượng	Khí thải SO2	Phục hồi sinh thái	Tiếp xúc nguy hại	Quy hoạch và quản lý môi trường	Low Carbon City	Not Done
Nhiệt Độ Toàn Cầu	Cân bằng nước	Thay đổi lớp phủ đất	Biodiversity Enhancement	Bioenergy	Nitrogen Oxides Emissions	Waste Regeneration	Sustainable Diets	Climate Policy Integration	Thành phố carbon thấp	Not Done
Heat Island Effect	Ocean Circulation	Agroecosystem Management	Tăng cường đa dạng sinh học	Năng lượng sinh học	Khí thải NOx	Tái sinh chất thải	Chế độ ăn bền vững	Lồng ghép chính sách khí hậu	Tăng trưởng đô thị bền vững	Not Done
Hiệu Ứng Nhiệt Đô Thị	Tuần hoàn đại dương	Quản lý hệ sinh thái nông nghiệp	Species Restoration	Dự báo nhu cầu năng lượng	Ozone Depletion	Trung tâm đổi mới tuần hoàn	Toxic Emissions	Sustainable Education	Clean Energy Communities	Not Done
Climate Forecast	Riparian Zones	Soil Management Practices	Natural Ecosystems	Energy Statistics	Suy giảm tầng ozone	Khung kinh tế tuần hoàn	Khí thải độc hại	Giáo dục bền vững	Cộng đồng năng lượng sạch	Not Done
Dự Báo Khí Hậu	Vùng ven sông	Thực hành quản lý đất	Hệ sinh thái tự nhiên	Thống kê năng lượng	Indoor Pollution	Lifecycle Management	Respiratory Health	Environmental Legal Framework	Eco Friendly Development	Not Done
Renewable Infrastructure	Coastal Resilience	Fallow Land	Ecosystem Research	Energy Management System	Ô nhiễm trong nhà	Quản lý vòng đời	Sức khỏe hô hấp	Khung pháp lý môi trường	Phát triển thân thiện môi trường	Not Done
Hạ Tầng Năng Lượng Xanh	Khả năng chống chịu ven biển	Đất bỏ hoang	Nghiên cứu hệ sinh thái	Hệ thống quản lý năng lượng	Household Chemicals	Environmental Footprint	Public Hygiene	Climate Adaptation Strategy	Sustainable Lifestyle	Not Done
Green Economy	Water Resources Management	Soil Aeration	Forest Health	Industrial Energy Use	Hóa chất gia dụng	Dấu vết môi trường	Vệ sinh công cộng	Chiến lược thích ứng khí hậu	Lối sống bền vững	Not Done
Nền Kinh Tế Xanh	Quản lý tài nguyên nước	Thông khí đất	Sức khỏe rừng	Sử dụng năng lượng công nghiệp	Cleaning Agents	Circular Marketplace	Pollen Pollution	Environmental Risk Assessment Policy	Urban Climate Action	Not Done
Sustainable City	Ocean Sustainability	Land Development Planning	Biodiversity Awareness	Residential Energy Use	Chất tẩy rửa	Thị trường tuần hoàn	Ô nhiễm phấn hoa	Chính sách đánh giá rủi ro môi trường	Hành động khí hậu đô thị	Not Done
Thành Phố Bền Vững	Bền vững đại dương	Kế hoạch phát triển đất đai	Nhận thức về đa dạng sinh học	Sử dụng năng lượng dân dụng	Detergent Pollution	Reuse Platform	Dịch tễ học môi trường	Local Climate Action	Energy Efficient Infrastructure	Not Done
Ecological Balance	Fishery Management	Kỹ thuật bảo tồn đất	Ecosystem Policy Framework	Energy Labeling	Ô nhiễm từ chất tẩy rửa	Nền tảng tái sử dụng	Noise Mapping	Hành động khí hậu địa phương	Hạ tầng tiết kiệm năng lượng	Not Done
Cân Bằng Sinh Thái	Quản lý nghề cá	Integrated Land Use	Khung chính sách hệ sinh thái	Nhãn năng lượng	Plastic Contamination	Repair Network	Bản đồ tiếng ồn	Sustainable Development Education	Green Innovation	Not Done
Air Circulation	Aquatic Ecology	Sử dụng đất tích hợp	Endangered Plants	Energy Regulation	Ô nhiễm nhựa	Mạng lưới sửa chữa	Chemical Risk Management	Giáo dục phát triển bền vững	Đổi mới xanh	Not Done
Tuần Hoàn Không Khí	Sinh thái học thủy sinh	Soil Degradation Index	Thực vật nguy cấp	Quy định về năng lượng	Microplastics	Material Loop	Quản lý rủi ro hóa chất	Environmental Information System	Không gian công cộng bền vững	Not Done
Climate Feedback	Water Access Inequality	Chỉ số thoái hóa đất	Wildlife Corridors	Power Distribution	Vi nhựa	Vòng tuần hoàn vật liệu	Climate Adaptation and Health	Hệ thống thông tin môi trường	Eco Friendly Products	Not Done
Phản Hồi Khí Hậu	Bất bình đẳng tiếp cận nước	Phát triển nông nghiệp bền vững	Hành lang động vật hoang dã	Phân phối điện	Solid Waste Planning	Recycling Loop	Thích ứng khí hậu và sức khỏe	Public Awareness Program	Sản phẩm thân thiện môi trường	Not Done
Green Building	Marine Food Chain	Soil Microbial Activity	Ecosystem Evaluation	Grid Modernization	Kế hoạch chất thải rắn	Chu trình tái chế	Contaminated Sites	Chương trình nâng cao nhận thức cộng đồng	Smart City Energy	Not Done
Công Trình Xanh	Chuỗi thức ăn biển	Hoạt động vi sinh vật đất	Đánh giá giá trị hệ sinh thái	Hiện đại hóa lưới điện	Recycling Programs	Waste Free Future	Khu vực ô nhiễm	National Environmental Action Plan	Năng lượng thành phố thông minh	Not Done
Climate Transition	River Restoration	Farm Soil Testing	Forest Sustainability	Transmission Lines	Chương trình tái chế	Tương lai không rác thải	Biohazard Waste	Kế hoạch hành động môi trường quốc gia	Green Living Spaces	Not Done
Chuyển Dịch Khí Hậu	Phục hồi sông	Kiểm định đất nông trại	Phát triển rừng bền vững	Đường truyền tải điện	Extended Producer Responsibility	Sustainable Value Chain	Chất thải sinh học nguy hại	Climate Mitigation Policy	Không gian sống xanh	Not Done
Biodiversity Loss	Desalinated Water	Land Allocation	Ecosystem Productivity Index	Renewable Portfolio Standards	Trách nhiệm nhà sản xuất mở rộng	Chuỗi giá trị bền vững	Thermal Pollution	Chính sách giảm nhẹ khí hậu	Sustainable Neighborhoods	Not Done
